"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"tubby pickaxe","https://app.dework.xyz/m3/m3ta?taskId=4277c992-bb92-42f1-8528-cf9d394a11e0","","","DONE","7oroy.eth","0x1aF6c03400bFA69a8aED03f0e39f8aEDd4C95313","100 USDT","","jin created on May 12, 2024 1:13 PM, Task completed on May 13, 2024 2:25 PM"
"Character Studio PC Box Art","https://app.dework.xyz/m3/m3ta?taskId=81ddeec9-c190-4d84-a207-c7f4d5dd2bf3","","","DONE","7oroy.eth","0x1aF6c03400bFA69a8aED03f0e39f8aEDd4C95313","150 USDT","","jin created on Apr 9, 2024 8:22 PM, Task completed on Apr 29, 2024 10:22 AM"
"DAOtown Update: MetaGame 2D / 3D Overworld","https://app.dework.xyz/m3/m3ta?taskId=beea119b-653c-478e-8e5e-2359a0f02514","","","TODO","","","","","jin created on Dec 21, 2023 12:34 PM"
"DAOtown Demo Day Preparation","https://app.dework.xyz/m3/m3ta?taskId=5f8e797f-acf9-4d3c-8230-f9ea0a976d7f","","","DONE","jin,7oroy.eth","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F,0x1aF6c03400bFA69a8aED03f0e39f8aEDd4C95313","1000 USDT","","jin created on Nov 28, 2023 4:13 PM, Task completed on Nov 28, 2023 4:13 PM"
"M3rit Badges","https://app.dework.xyz/m3/m3ta?taskId=5e786b93-e28d-489c-acb5-cba9f66ad3eb","","","TODO","","","","","jin created on Nov 17, 2023 5:12 PM"
"DAOtown Demo Day","https://app.dework.xyz/m3/m3ta?taskId=2d8e0701-e77e-4a1f-ab45-db381c3d6d0b","","","DONE","","","","","jin created on Nov 6, 2023 11:02 PM, Task completed on Nov 13, 2023 9:51 PM"
"Sergey Adworld Char","https://app.dework.xyz/m3/m3ta?taskId=7f975d76-cd53-4bed-8e01-f17abc473808","","","DONE","alsara2k","0x76E245CeA07B6caeAEE72caA0b3675Db44ff3b2C","100 USDC","","jin created on Oct 26, 2023 5:12 PM, Task completed on Oct 26, 2023 6:02 PM"
"Feet Adworld Character","https://app.dework.xyz/m3/m3ta?taskId=06ce2c80-dc90-4dd7-9a5a-1158b2b50fa4","","","DONE","alsara2k","0x76E245CeA07B6caeAEE72caA0b3675Db44ff3b2C","100 USDC","","jin created on Oct 25, 2023 4:50 PM, Task completed on Oct 25, 2023 11:09 PM"
"Lunch boxes","https://app.dework.xyz/m3/m3ta?taskId=fa946dd4-6d11-491f-ba84-67033e28d8ae","","","COMMUNITY_SUGGESTIONS","","","","","jin created on Oct 25, 2023 4:31 PM"
"metanode 3D models","https://app.dework.xyz/m3/m3ta?taskId=5490cc24-646c-43ca-b8f1-3fbf85f48eb2","","","DONE","alsara2k","0x76E245CeA07B6caeAEE72caA0b3675Db44ff3b2C","75 USDC","","jin created on Oct 25, 2023 4:00 PM, Task completed on Oct 25, 2023 4:05 PM"
