"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Cool crypto pricing template","https://app.dework.xyz/m3/zine?taskId=46ac83bb-9cdd-4804-a66b-fd4953a6b447","","","TODO","","","","","jin created on Jun 19, 2023 2:04 PM"
"Useful Zine Snippets","https://app.dework.xyz/m3/zine?taskId=c6c01918-1c08-4ec3-97eb-abf1bf423782","","","TODO","","","","","jin created on Jun 19, 2023 2:02 PM"
"M3zine Render","https://app.dework.xyz/m3/zine?taskId=1b37b53e-d9cd-4a52-8fdd-ce5f6f7aca36","","","IN_PROGRESS","7oroy.eth","0x1aF6c03400bFA69a8aED03f0e39f8aEDd4C95313","","","jin created on Jun 1, 2023 8:55 PM"
"Back Cover","https://app.dework.xyz/m3/issue-x?taskId=e4132e4e-98e3-4bb7-a413-0f588f201e91","","","IN_PROGRESS","7oroy.eth","0x1aF6c03400bFA69a8aED03f0e39f8aEDd4C95313","150 USDC","","jin created on May 31, 2023 8:59 PM"
"Advertisements (1 page)","https://app.dework.xyz/m3/issue-x?taskId=b9884300-9ea5-4614-ac4f-f7fa39dad0f2","","","IN_PROGRESS","","","","","jin created on May 31, 2023 8:59 PM"
"Community Showcase (1 page)","https://app.dework.xyz/m3/issue-x?taskId=f66d657e-286b-48ce-a7a9-50d85a7d55b9","","","IN_PROGRESS","","","","","jin created on May 31, 2023 8:59 PM"
"DIY Tech Projects (x2 pages)","https://app.dework.xyz/m3/issue-x?taskId=fb04fef9-d685-4130-a97c-975357b97556","","","TODO","","","","","jin created on May 31, 2023 8:58 PM"
"Full Spread Art (x4 pages)","https://app.dework.xyz/m3/issue-x?taskId=7ab93e8f-16c7-4b68-8c9a-6944f561d991","","","DONE","7oroy.eth","0x1aF6c03400bFA69a8aED03f0e39f8aEDd4C95313","200 USDC","","jin created on May 31, 2023 8:57 PM, Task completed on Jul 24, 2023 1:10 PM"
"Crypto Culture (2x pages)","https://app.dework.xyz/m3/issue-x?taskId=11341a8c-d94f-405b-9b3a-6f814d0f68e0","","","TODO","","","","","jin created on May 31, 2023 8:53 PM"
"Maker's Corner (x4 pages)","https://app.dework.xyz/m3/issue-x?taskId=89c8a532-9f0a-48c8-8e53-cf2f9f75c9c1","","","IN_REVIEW","","","","","jin created on May 31, 2023 8:53 PM"
"Metaverse News (1 page)","https://app.dework.xyz/m3/issue-x?taskId=b4d9a456-9b99-48cb-b60b-c98cc75f5b1f","","","IN_PROGRESS","","","","","jin created on May 31, 2023 8:53 PM"
"Editor Note / Intro (1 page)","https://app.dework.xyz/m3/issue-x?taskId=c5867293-7687-4798-9bc4-fe7e4a673ce0","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on May 31, 2023 8:53 PM, Task completed on Jul 24, 2023 1:15 PM"
"Cover Page","https://app.dework.xyz/m3/issue-x?taskId=abf6374e-ac57-4b55-96f0-13753e1fe13c","","","DONE","7oroy.eth","0x1aF6c03400bFA69a8aED03f0e39f8aEDd4C95313","150 USDC","","jin created on May 31, 2023 8:53 PM, Task completed on Jul 24, 2023 1:10 PM"
