"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"WIP Screenshots","https://app.dework.xyz/m3/milestones-19868?taskId=04f457cd-ea53-4f8b-93fc-1ef1707f86f4","","","IN_PROGRESS","boomboxhead","0x670A6EB62f5146d4B3B40C7b58AA31d175E3d6Fb","","","boomboxhead created on May 16, 2024 1:30 AM"
"add meta-loot","https://app.dework.xyz/m3/milestones-19868?taskId=9c324a91-a05e-445a-a994-16f1f2ca587c","","","TODO","","","","","boomboxhead created on May 16, 2024 1:28 AM"
"sanitize and rename the filenames, special chars for assets","https://app.dework.xyz/m3/milestones-19868?taskId=62d57399-75fb-4387-9f5f-997603ba8d78","","","IN_PROGRESS","boomboxhead","0x670A6EB62f5146d4B3B40C7b58AA31d175E3d6Fb","","","boomboxhead created on May 16, 2024 1:26 AM"
"Animation Baking Starting Point","https://app.dework.xyz/m3/milestones-19868?taskId=0a545666-98c4-411c-bf86-6940a7a0f353","","","TODO","","","","","boomboxhead created on May 16, 2024 1:25 AM"
"Generate HTML per generation","https://app.dework.xyz/m3/milestones-19868?taskId=9713fe79-585e-4f82-a3da-c5e88331b41e","","","TODO","","","","","boomboxhead created on May 16, 2024 1:24 AM"
"Refactor JSON batch import script from Anatas project","https://app.dework.xyz/m3/milestones-19868?taskId=a7689cd5-175a-478f-b5d9-4aa21bef6784","","","TODO","","","","","boomboxhead created on May 16, 2024 1:23 AM"
"Cant use gifs in GLB","https://app.dework.xyz/m3/milestones-19868?taskId=535c2eba-6109-44f8-91b7-d0e8415dcfc4","","","TODO","","","","","boomboxhead created on May 16, 2024 1:22 AM"
"test animation export, and how to deal with animator / glb export","https://app.dework.xyz/m3/milestones-19868?taskId=4b3f1214-e1bf-4d59-ba35-8e2d1cc23b29","","","TODO","","","","","boomboxhead created on May 16, 2024 1:21 AM"
"rebake lighting in blender with a batch script after generation along with optimizations","https://app.dework.xyz/m3/milestones-19868?taskId=ccaf44e4-f613-48e2-8af4-e73ce3f57893","","","TODO","","","","","boomboxhead created on May 16, 2024 1:20 AM"
"re-factor and port over memes Options Managers and Helper Scripts","https://app.dework.xyz/m3/milestones-19868?taskId=613ebf58-5bc7-4bf0-990c-8fed5a57aa45","","","TODO","","","","","boomboxhead created on May 16, 2024 1:20 AM"
"address duplicates in randommizer...","https://app.dework.xyz/m3/milestones-19868?taskId=54b41c0c-efa7-4af6-beb3-09c7a776a36d","","","TODO","","","","","boomboxhead created on May 16, 2024 1:19 AM"
"NFTs need to be shuffled on mint","https://app.dework.xyz/m3/milestones-19868?taskId=7384c06a-9a08-4ee7-9cb2-7426e8771c00","","","TODO","","","","","boomboxhead created on May 16, 2024 1:18 AM"
"randomize camera positions","https://app.dework.xyz/m3/milestones-19868?taskId=7eabbde8-c980-4587-b029-484bf03049ba","","","TODO","","","","","boomboxhead created on May 16, 2024 1:05 AM"
"Add metadata to Jins slides","https://app.dework.xyz/m3/milestones-19868?taskId=a991447f-8734-46f2-8629-afc9b296e551","","","TODO","","","","","boomboxhead created on May 16, 2024 1:03 AM"
"Project Website","https://app.dework.xyz/m3/milestones-19868?taskId=fd89d676-e342-4780-974d-ac01c0f22ecf","","","IN_PROGRESS","boomboxhead","0x670A6EB62f5146d4B3B40C7b58AA31d175E3d6Fb","","","boomboxhead created on May 16, 2024 1:02 AM"
"Milestones Event To Gather Media / Assets","https://app.dework.xyz/m3/milestones-19868?taskId=396a4f5e-ad56-44ec-81e7-23c7c3db2f6d","","","TODO","","","","","boomboxhead created on May 16, 2024 1:00 AM"
