"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Mirror post about the project","https://app.dework.xyz/m3/the-m3mes?taskId=d6406060-b807-4312-858e-21546c0a846a","","","TODO","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Nov 29, 2023 3:27 PM"
"Hack The Planet Float","https://app.dework.xyz/m3/the-m3mes?taskId=5f0d45c9-2b05-4714-9b4e-224ac057bd7d","","","TODO","alsara2k","0x76E245CeA07B6caeAEE72caA0b3675Db44ff3b2C","","","jin created on Nov 9, 2023 1:42 PM"
"Design 3D assets","https://app.dework.xyz/m3/the-m3mes?taskId=e86071c8-d02f-4a8f-9dd9-addf5b8ec856","github issue","","DONE","boomboxhead","0x670A6EB62f5146d4B3B40C7b58AA31d175E3d6Fb","0.06529 ETH, 1 WORLD","","jin created on Nov 8, 2023 5:25 PM, Task completed on Nov 8, 2023 5:25 PM"
"Schizovehicle","https://app.dework.xyz/m3/the-m3mes?taskId=85e5b509-328c-440d-9c92-ca2a1bf0d025","","","TODO","","","150 USDT","","jin created on Nov 7, 2023 11:37 PM"
"OM Monster Truck","https://app.dework.xyz/m3/the-m3mes?taskId=b9e52c19-3524-4d56-92e2-ad92bc3706a5","","","DONE","alsara2k","0x76E245CeA07B6caeAEE72caA0b3675Db44ff3b2C","0.06529 ETH","","jin created on Nov 3, 2023 12:29 AM, Task completed on Nov 3, 2023 12:29 AM"
""Make Memes Not War" Peace sign wearable / attachable","https://app.dework.xyz/m3/the-m3mes?taskId=db7169c8-7a5e-49ee-9e48-a7542d9133c1","","","DONE","hirop.eth","0x09d13ec760DA0935F52306319004934569989352","0.06529 ETH","","jin created on Oct 27, 2023 3:55 PM, Task completed on Oct 27, 2023 3:55 PM"
""Make Memes Not War" Peace sign wearable / attachable","https://app.dework.xyz/m3/the-m3mes?taskId=5684a1c9-ef8f-4d59-ab95-d3d55a75e436","","","DONE","hirop.eth","0x09d13ec760DA0935F52306319004934569989352","0.06529 ETH","","jin created on Oct 27, 2023 1:24 PM, Task completed on Oct 28, 2023 6:57 PM"
"Pepe House Sign / Surfboard","https://app.dework.xyz/m3/the-m3mes?taskId=86e1bb09-5317-4e68-9e77-cf7dde309c41","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","0.06529 ETH","","jin created on Oct 27, 2023 1:08 PM, Task completed on Oct 27, 2023 3:55 PM"
""Don't Trust, Check" - spinning glTF","https://app.dework.xyz/m3/the-m3mes?taskId=4da90a2b-189e-45ba-8da6-aee435cd6b75","","","DONE","hirop.eth","0x09d13ec760DA0935F52306319004934569989352","0.06529 ETH","October 30, 2023 5:12 PM","jin created on Oct 27, 2023 1:02 PM, Task completed on Nov 3, 2023 6:16 PM"
""COME AND TAKE IT" Shirt / Flag","https://app.dework.xyz/m3/the-m3mes?taskId=fc9cca33-e120-4c53-bd72-ec2726399be7","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","0.06529 ETH","","jin created on Oct 27, 2023 12:51 PM, Task completed on Oct 27, 2023 3:55 PM"
