"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Wearables: Cryptmas Shirt by Perchy","https://app.dework.xyz/metafactory/metaverse?taskId=cdbb9539-bc3f-4887-b183-46a4e4b9d6cb","","","TODO","","","","","jin created on Mar 17, 2024 7:27 PM"
"Wearables: Milton Tee","https://app.dework.xyz/metafactory/metaverse?taskId=da9c057d-4b0d-4dca-9c04-2437eb614171","","","TODO","","","","","jin created on Mar 17, 2024 6:52 PM"
"Wearables: Make Stablecoins Stable Again","https://app.dework.xyz/metafactory/metaverse?taskId=81187dd4-39b9-4209-bfbf-85501f42caeb","","","TODO","","","","","jin created on Mar 17, 2024 6:52 PM"
"Wearables: BONK ALLOVER PRINT TSHIRT","https://app.dework.xyz/metafactory/metaverse?taskId=57b36dcf-8be9-43e3-8d88-1407bd13397b","","","TODO","","","","","jin created on Mar 17, 2024 6:52 PM"
"Wearables: BONK ALLOVER PRINT TSHIRT","https://app.dework.xyz/metafactory/metaverse?taskId=7747bfe1-4775-49e1-8cba-f449e81122fe","","","TODO","","","","","jin created on Mar 17, 2024 6:52 PM"
"Wearables: Bonk Pixel Tshirt","https://app.dework.xyz/metafactory/metaverse?taskId=1a8c4a9b-d0e8-4bc1-99ee-67fe2f0de6d6","","","TODO","","","","","jin created on Mar 17, 2024 6:51 PM"
"Wearables: Bonk Bucket Hat","https://app.dework.xyz/metafactory/metaverse?taskId=61452b4e-5d6f-449e-9e43-221a08cf4c2d","","","TODO","","","","","jin created on Mar 17, 2024 6:51 PM"
"Wearables: Bonk Cuffed Beanie","https://app.dework.xyz/metafactory/metaverse?taskId=54497971-c774-44e9-9d9c-bf3800763465","","","TODO","","","","","jin created on Mar 17, 2024 6:50 PM"
"Wearables: "FREE ALEX // ROMAN" PRIVACY TEE","https://app.dework.xyz/metafactory/metaverse?taskId=829909e6-9eb6-44b7-a617-43c55b40a6bd","","","TODO","","","","","jin created on Mar 17, 2024 6:50 PM"
"Wearables: Wen Slay Tshirt","https://app.dework.xyz/metafactory/metaverse?taskId=dde23ba9-21a7-42d2-9e0a-b0592648c2c0","","","TODO","","","","","jin created on Mar 17, 2024 6:48 PM"
"Wearables: Wen Slay Hoodie","https://app.dework.xyz/metafactory/metaverse?taskId=7600701e-d3f0-4788-9a62-20314ce75530","","","TODO","","","","","jin created on Mar 17, 2024 6:48 PM"
"Wearables: Bonk Pixel Hoodie","https://app.dework.xyz/metafactory/metaverse?taskId=1cda6375-9d99-4a1c-b2c7-09ee801b14ca","","","TODO","","","","","jin created on Mar 17, 2024 6:48 PM"
"Wearables: Anti Meta Meta Factory Hoodie (Black)","https://app.dework.xyz/metafactory/metaverse?taskId=9eba2f8e-3aba-4d24-94c8-057c2cbd27c3","","","TODO","","","","","jin created on Mar 17, 2024 6:47 PM"
"Wearables: Satoshi Nakamoto Hat","https://app.dework.xyz/metafactory/metaverse?taskId=ede0512a-8bd7-46dc-9f86-5cf4d929aa22","","","TODO","","","","","jin created on Mar 17, 2024 6:46 PM"
"Wearables: Seize the Memes Tee","https://app.dework.xyz/metafactory/metaverse?taskId=f8a1f680-c2bf-4bfb-9cde-2822f9b8139b","","","TODO","","","","","jin created on Mar 17, 2024 6:45 PM"
"Wearables: Freedom to Transact Tee","https://app.dework.xyz/metafactory/metaverse?taskId=cc3794fb-5039-4ae9-aafe-93b91387ff3a","","","TODO","","","","","jin created on Mar 17, 2024 6:44 PM"
"Wearables: Pebbles Hoodie","https://app.dework.xyz/metafactory/metaverse?taskId=2f939367-10dc-4c05-8e4d-d3a7281699de","","","TODO","","","","","jin created on Mar 17, 2024 6:43 PM"
"Wearables: Choose RICH","https://app.dework.xyz/metafactory/metaverse?taskId=da65134f-1e7e-47a4-9806-b388b108fc70","","","TODO","","","","","jin created on Mar 17, 2024 6:42 PM"
"HPOS10i x MetaFactory","https://app.dework.xyz/metafactory/metaverse?taskId=32828917-2625-4c51-968d-2232893aa50f","","","IN_REVIEW","7oroy.eth","0x1aF6c03400bFA69a8aED03f0e39f8aEDd4C95313","400 USDC","","jin created on Nov 23, 2023 11:13 PM"
"Fix blend","https://app.dework.xyz/metafactory/metaverse?taskId=4bf911f1-f7d5-462d-896b-b99aa472c8b6","","","DONE","-ˋˏ kiiba ˎˊ-","0x0e3a41217d8C291081598c46d738AaAf5Be3907e","175 USDC","","jin created on Jun 6, 2023 12:44 PM, Task completed on Jun 11, 2023 7:06 PM"
"Update mf-wearables CI/CD","https://app.dework.xyz/metafactory/metaverse?taskId=2b605c5b-5f70-4049-b04a-8fc91c2c9c4b","","","IN_PROGRESS","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Apr 17, 2023 11:59 PM"
"Update dework with new wearables","https://app.dework.xyz/metafactory/metaverse?taskId=2726ad80-156a-48f3-b74f-673aededccf5","","","IN_PROGRESS","jin,DAOFREN","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F,0x4cCa9821c246acd39a42F34e6ae4E520A8224565","","","jin created on Apr 17, 2023 11:58 PM"
"Allow for viewing wearables in a Hyperfy space","https://app.dework.xyz/metafactory/metaverse?taskId=971ea51a-0464-4db3-8102-378a0c0c895a","metaverse,github issue","","TODO","","","","","jin created on Apr 13, 2023 2:01 PM"
"Integrate Hyperfy SDK","https://app.dework.xyz/metafactory/metaverse?taskId=8ba0734c-585a-4fb5-b2d1-390169040b1c","metaverse,github issue","","BACKLOG","","","","","jin created on Apr 13, 2023 2:01 PM"
"New base meshes","https://app.dework.xyz/metafactory/metaverse?taskId=e2efb4de-d880-4007-8c6e-989e87a91d68","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Jan 27, 2023 5:54 PM, Task completed on Nov 23, 2023 10:55 PM"
"Teaser video: MF Wearables WIP","https://app.dework.xyz/metafactory/metaverse?taskId=6fb38d3b-c608-41bb-99db-943036b471d1","","","DONE","","","","","jin created on Jan 9, 2023 8:09 PM, Task completed on Jan 13, 2023 5:59 PM"
"Pose + export glbs of MF models w/ wearables","https://app.dework.xyz/metafactory/metaverse?taskId=28dd4ce4-ba85-4573-b1aa-7b91e6bb380c","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Jan 9, 2023 8:08 PM, Task completed on Nov 23, 2023 11:10 PM"
"Gitcoin Quadratic Lands Tracksuit Stuff","https://app.dework.xyz/metafactory/metaverse?taskId=f4e52937-23c0-495d-bef1-df068db6a791","m3org","","BACKLOG","milfdad.eth,jin","0x58E2B4d76F66F2e71D1Db865c4F4C8e9ADCC13C0,0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","milfdad.eth created on Jan 1, 2023 2:51 AM"
"10/11 glb socks export","https://app.dework.xyz/metafactory/metaverse?taskId=5e7e2141-caa1-44ba-9d5e-1cf38b53eaca","","","DONE","7oroy.eth","0x1aF6c03400bFA69a8aED03f0e39f8aEDd4C95313","10 USDC","","jin created on Dec 25, 2022 11:26 PM, Task completed on Jan 15, 2023 5:55 PM"
"164 Artisant Hoodie","https://app.dework.xyz/metafactory/metaverse?taskId=b3f488c1-ed39-499b-8ec8-5a7e748ac9c4","","","DONE","7oroy.eth","0x1aF6c03400bFA69a8aED03f0e39f8aEDd4C95313","100 USDC","","jin created on Dec 22, 2022 2:26 AM, Task completed on Dec 30, 2022 8:25 PM"
"161 MCV Trucker Hat","https://app.dework.xyz/metafactory/metaverse?taskId=8bcfb319-57e9-43fa-a864-799daa43037b","","","DONE","greymage,jin","0x4539a7E0C54b9E033c006979f650Df1F6B25736d,0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","100 USDC","","jin created on Dec 22, 2022 2:26 AM, Task completed on Feb 5, 2023 3:15 AM"
"159 Tornado Cash Tshirt","https://app.dework.xyz/metafactory/metaverse?taskId=224278c5-aba6-4511-ae60-e9a3549ea0b6","","","DONE","jin,greymage","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F,0x4539a7E0C54b9E033c006979f650Df1F6B25736d","50 USDC","","jin created on Dec 22, 2022 2:24 AM, Task completed on Jan 11, 2023 6:07 PM"
"157 Gitcoin Tracksuit","https://app.dework.xyz/metafactory/metaverse?taskId=0a1c4e4d-6fb1-43c2-a272-823cabe4e2db","","","BACKLOG","7oroy.eth","0x1aF6c03400bFA69a8aED03f0e39f8aEDd4C95313","100 USDC","","jin created on Dec 22, 2022 2:23 AM"
