"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"QA6 speed run part 2","https://app.dework.xyz/webaverse/anata-81736?taskId=b26904ba-4904-4957-b11f-d7520c57ff2b","","","IN_REVIEW","-ˋˏ kiiba ˎˊ-","0x0e3a41217d8C291081598c46d738AaAf5Be3907e","400 USDT","","jin created on May 16, 2024 3:51 PM"
"QA6 mini fixes speed run","https://app.dework.xyz/webaverse/anata-81736?taskId=ce1171ee-292d-4d42-906c-cfa44ad2dbff","","","DONE","-ˋˏ kiiba ˎˊ-","0x0e3a41217d8C291081598c46d738AaAf5Be3907e","450 USDT","","jin created on May 16, 2024 2:21 PM, Task completed on May 23, 2024 8:20 PM"
"QA pt6 Checklist / Testing","https://app.dework.xyz/webaverse/anata-81736?taskId=7fe24bc4-de80-47be-8091-6390a9b8bfff","","","DONE","-ˋˏ kiiba ˎˊ-","0x0e3a41217d8C291081598c46d738AaAf5Be3907e","200 USDT","","jin created on May 14, 2024 3:27 PM, Task completed on May 23, 2024 8:20 PM"
"QA Pt6 Male Batch","https://app.dework.xyz/webaverse/anata-81736?taskId=64381e16-4834-41b6-b370-b7c8b2b2061e","","","DONE","GuiltyRegicide","0x15b6e5759485BCF2eA19ce729053E71b90Ee54A7","500 USDT","","jin created on May 13, 2024 11:19 PM, Task completed on May 13, 2024 11:19 PM"
"QA6 Male + Female Fixes (Sanitization / Assembly)","https://app.dework.xyz/webaverse/anata-81736?taskId=ba606d41-f46d-4035-938f-1e687a61f468","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","500 USDT","","jin created on May 3, 2024 5:33 PM, Task completed on May 3, 2024 5:33 PM"
"QA6 Quick Batch Male","https://app.dework.xyz/webaverse/anata-81736?taskId=fc44f819-d393-4268-9340-ec99d425cf90","","","DONE","-ˋˏ kiiba ˎˊ-","0x0e3a41217d8C291081598c46d738AaAf5Be3907e","300 USDT","","jin created on May 3, 2024 5:28 PM, Task completed on May 13, 2024 8:56 PM"
"Qt Pt.5 Updating all the Honorarys","https://app.dework.xyz/webaverse/anata-81736?taskId=93c850bf-c87a-4701-ab0b-2864af647c0f","","","DONE","GuiltyRegicide","0x15b6e5759485BCF2eA19ce729053E71b90Ee54A7","300 USDT","","jin created on Apr 26, 2024 4:36 PM, Task completed on Apr 26, 2024 4:37 PM"
"QA Pt.5  Tattoos","https://app.dework.xyz/webaverse/anata-81736?taskId=cfb4c3d4-5f4f-4ad8-9cb2-7b7c318f4606","","","DONE","-ˋˏ kiiba ˎˊ-","0x0e3a41217d8C291081598c46d738AaAf5Be3907e","750 USDT","","jin created on Apr 16, 2024 9:24 PM, Task completed on Apr 30, 2024 5:56 PM"
"QA5 Flipped Faces","https://app.dework.xyz/webaverse/anata-81736?taskId=93964a03-f6d9-43cd-aef5-8874576ca2f2","","","DONE","-ˋˏ kiiba ˎˊ-","0x0e3a41217d8C291081598c46d738AaAf5Be3907e","100 USDT","","jin created on Apr 15, 2024 4:04 PM, Task completed on Apr 18, 2024 11:07 AM"
"QA Pt 5 Bandages / Arm Bandages","https://app.dework.xyz/webaverse/anata-81736?taskId=48e4b9ca-3449-4090-9f43-c93e36b511b8","","","DONE","jin,GuiltyRegicide","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F,0x15b6e5759485BCF2eA19ce729053E71b90Ee54A7","150 USDT","","jin created on Apr 12, 2024 9:32 PM, Task completed on Apr 18, 2024 2:53 PM"
