"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Video: How to test a repo","https://app.dework.xyz/webaverse/meta-7796?taskId=4561e0d9-4b3e-4dcb-896b-0de6fef17fdb","","","IN_PROGRESS","","","50 USDC","","jin created on Feb 22, 2023 8:41 PM"
"Blog post: Write a tutorial on QA testing","https://app.dework.xyz/webaverse/meta-7796?taskId=cc92c3c6-9a97-4452-b142-7894d8cfc29b","","","IN_PROGRESS","","","60 USDC","","jin created on Feb 22, 2023 8:40 PM"
"test","https://app.dework.xyz/webaverse/meta-7796?taskId=bf829614-6404-40da-bbdb-fa2f919eeec8","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Feb 8, 2023 2:20 PM, Task completed on Feb 8, 2023 2:21 PM"
"Ahad say GM","https://app.dework.xyz/webaverse/meta-7796?taskId=77f81988-4231-4b56-a2b9-2cb9ba5bcc1c","","","COMMUNITY_SUGGESTIONS","","","","","Machado created on Jan 17, 2023 7:19 PM"
"front page face lift","https://app.dework.xyz/webaverse/meta-7796?taskId=ca449f5d-5a38-4130-9c7e-3a060a3d5079","","","COMMUNITY_SUGGESTIONS","","","","","szabo0genie created on Sep 21, 2022 4:34 AM"
"Quick start guide","https://app.dework.xyz/webaverse/meta-7796?taskId=1bf3c43b-9662-479c-8729-38b8f10771e3","github issue","","IN_REVIEW","Yohan","0xc9fD25a63dE3bD89055504F306Df632357246302","100 USDC","February 15, 2023 2:35 PM","jin created on Sep 16, 2022 11:38 PM"
"Redo the reaction role discord bot","https://app.dework.xyz/webaverse/meta-7796?taskId=231d74cc-a340-4f03-b812-77cde0a5f2ad","github issue","","TODO","","","100 USDC","","jin created on Sep 5, 2022 9:15 PM"
"HackMD guide book / contributor guide","https://app.dework.xyz/webaverse/meta-7796?taskId=123cf90d-b415-4130-999d-51e9574c953c","github issue","","DONE","","","","","Github Integration created on Sep 4, 2022 12:45 AM, Task completed on Sep 17, 2022 10:29 PM"
"Make a good README template","https://app.dework.xyz/webaverse/meta-7796?taskId=98d3139c-f370-48de-8380-5c99c5919e64","github issue","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Aug 20, 2022 5:39 PM, Task completed on Sep 18, 2022 1:40 AM"
"Awesome-webaverse repo?","https://app.dework.xyz/webaverse/meta-7796?taskId=1041a609-12f2-4972-af64-59c2f671d7cc","github issue","","TODO","","","100 USDC","","jin created on Aug 20, 2022 5:39 PM"
